	no	idx	rgn2
262	497	인도네시아외국인주식순매수	여타국가
263	498	VIX	글로벌
264	499	KTBF3거래량	한국
265	500	KTBF3미결제약정	한국
266	501	KTBF3 약정가	한국
267	503	다우 산업	미국
268	504	S&P 500	미국
269	505	나스닥 종합	미국
270	506	항셍 지수	여타국가
271	513	TED spread	미국
272	514	30년 T-BONDS선물가	미국
273	515	5년 T-NOTE선물가	미국
274	516	10년 T-NOTE선물가	미국
275	517	뉴욕증권거래소 거래량	미국
276	518	런던증권거래소 거래량	영국
277	519	동경증권거래소 거래량	일본
278	520	독일 xetra 증권거래소 거래량	여타국가
279	521	브라질 bovespa 증권거래소 거래량	여타국가
280	522	USD 투자적격회사채지수	미국
281	523	USD 하이일드회사채지수	미국
282	524	EU 투자적격회사채지수	여타국가
283	525	EU 하이일드회사채지수	여타국가
284	526	GBP 투자적격회사채지수	영국
285	527	GBP 하이일드회사채지수	영국
286	528	JP 투자적격회사채지수	일본
287	529	신흥시장정부채 지수	글로벌
288	530	신흥시장회사채 지수	글로벌
289	531	EU금리선도 9*12	여타국가
290	532	영국금리선도 9*12	영국
291	533	일본금리선도 6*12	일본
292	534	EMBI GLOBAL	글로벌
293	535	1년 영국 GILT	영국
294	536	2년 영국 GILT	영국
295	537	3년 영국 GILT	영국
296	538	5년 영국 GILT	영국
297	539	7년 영국 GILT	영국
298	540	30년 영국 GILT	영국
299	541	5년 일본 JGB	일본
300	542	20년 일본 JGB	일본
301	543	2년 독일 BUND	여타국가
302	544	3년 독일 BUND	여타국가
303	545	5년 독일 BUND	여타국가
304	546	7년 독일 BUND	여타국가
305	547	20년 독일 BUND	여타국가
306	548	30년 독일 BUND	여타국가
